timestamp_utc,sample_index,class_key,model_requested,model_returned,duration_sec,prompt_chars,completion_chars,prompt_hash_sha256,prompt_tokens,completion_tokens,total_tokens,top_p,max_tokens,status,attempts,error_type,error_message
2026-07-23T13:14:21+00:00,0,3713233:core/src/main/java/org/junithelper/core/file/filesearcherfactory.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,2.333,1113,454,1627469f59f10518a6a1a72deb590be7e22449b2adf5968987ad802cf5560272,263,90,353,1,2048,OK,1,,
2026-07-23T13:16:31+00:00,1,3713233:core/src/main/java/org/junithelper/core/extractor/constructormetaextractor.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,10.13,8888,4475,e4ebf4c3934448c1ddd4a543575a4881a4df24609a1122a7f6d9a86c3afd1c5b,1739,873,2612,1,2048,OK,1,,
2026-07-23T13:20:46+00:00,2,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/scheduler/quartzjob.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,9.26,14299,3579,5a277c6b325e32e1d09ffb9b0ae500f190501b201b1bccec1e4c4cbc944e0246,3382,754,4136,1,2048,OK,1,,
2026-07-23T13:23:05+00:00,3,3847504:modules/weblounge-common/src/main/java/ch/entwine/weblounge/common/impl/content/page/pageimpl.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,12.422,14883,4221,94a83beedd28fa7b92bbe534ea92c7052bc27ae43822f8140a1e5d022659a661,3579,957,4536,1,2048,OK,1,,
2026-07-23T13:24:23+00:00,4,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/missingtranslationscheck.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,5.908,2466,2398,36ce9cdcfdaeb68780ab8ba6577a0d3ecaeb5cb09f97b20b4e36701f81996405,580,511,1091,1,2048,OK,1,,
2026-07-23T13:26:14+00:00,5,39195736:jproperties-checks/src/main/java/org/sonar/jproperties/checks/generic/separatorconventioncheck.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,6.422,4248,3040,c3072f4eefc719b469b272b80ecf91e2ddbca098f0bca93f34a497b131412e44,950,604,1554,1,2048,OK,1,,
2026-07-23T13:28:03+00:00,6,41547678:turin-standard-library/src/main/java/turin/context/context.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,3.669,1173,1671,7902ffc0bc8006d4cfe67fa6a10f7ed9db6dff44b366be9052f7c2e6c9aee7d9,263,336,599,1,2048,OK,1,,
2026-07-23T13:30:19+00:00,7,41547678:turin-compiler/src/main/java/me/tomassetti/turin/resolvers/srcsymbolresolver.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,9.285,5827,4042,0afac5a61d5b2314a70a90665e7ef6e3a79e61aa44eac6c232a283723c294b7c,1103,795,1898,1,2048,OK,1,,
2026-07-23T13:32:21+00:00,8,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/battleship/solution.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,5.362,1237,1699,ca738ae3986982d0a6dfd85322879d05f05990e07c5d4166fa6cce2e8ba93b4f,289,444,733,1,2048,OK,1,,
2026-07-23T13:32:58+00:00,9,41627638:leetcode/battleships-in-a-board/src/main/java/com/github/maxpointonline/plainloop/solution.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,6.483,2525,2296,f1c5157ac28cc414b191cc582c5c63535ce5ee7033382bbf004749f4ed36991b,606,599,1205,1,2048,OK,1,,
2026-07-23T13:34:13+00:00,10,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/care/caremessages.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,11.327,7260,5783,2d4c63eebd3c17b872e7046eb476e24bc2288e2405ef66cc2395061dbd5dfe8b,1845,1258,3103,1,2048,OK,1,,
2026-07-23T13:36:22+00:00,11,43105609:weixin-mp/src/main/java/com/riversoft/weixin/mp/media/materials.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,15.075,13085,4887,1dfa368e82847b4d8d2364353f3207f48a9b587d9ad376a02b34406a230dd01d,2899,1089,3988,1,2048,OK,1,,
2026-07-23T13:40:32+00:00,12,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/argumentsfile.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,6.274,4009,2649,4965ea4dad622302be62681334c2f41a61fc8bd3e2ca3af18bf540173c6f20cd,854,570,1424,1,2048,OK,1,,
2026-07-23T13:42:25+00:00,13,44308560:src/robotframeworkcore/org.robotframework.ide.core-functions/src/main/java/org/rf/ide/core/execution/debug/stackframevariables.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,9.958,8040,3315,9081cc288b6f1cc7b11d08beb3795bfa29ec876e1c4f3d16a6f3d75661f16d19,1574,722,2296,1,2048,OK,1,,
2026-07-23T13:43:51+00:00,14,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/resourcewrapper.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,12.522,3294,6082,c8993140f57d2ef62ad6ada2c7465b552d00a732c16f70c3e629741f9d17d65d,724,1196,1920,1,2048,OK,1,,
2026-07-23T13:45:52+00:00,15,45997449:webrex/src/main/java/com/ebayopensource/webrex/resource/expression/resourceelevaluator.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,7.749,5032,3319,0ecfe7c00620f968fecfd5da7c7e9c34dfd8ca39f3d26cea218acb8262198a52,1030,647,1677,1,2048,OK,1,,
2026-07-23T13:48:03+00:00,16,46396068:hbase0.98/hbase-common-0.98/src/main/java/com/kakao/hbase/common/util/alertsender.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,4.64,2299,1705,65bff46bf1bd3141b9222dc78e1f7f80116dee98438bf3e68452ba44a6460f58,474,370,844,1,2048,OK,1,,
2026-07-23T13:53:52+00:00,20,48046454:hazelcast-jet-core/src/main/java/com/hazelcast/jet/impl/jetclientinstanceimpl.java,gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,8.338,6023,3528,d61fcb95b900a79f9f084fb6d24ba386b08d9f081800b9363b1ea18e7d0117f2,1230,759,1989,1,2048,OK,1,,
